n_neurons_l0,activation_l0,alpha_l0,dropout_l0,n_layers,n_neurons_l1,activation_l1,dropout_l1,n_neurons_l2,activation_l2,dropout_l2,lr,optimizer,batch_size,value,n_params,trial_number,alpha_l1,alpha_l2,n_neurons_l3,activation_l3,dropout_l3,n_neurons_l4,activation_l4,dropout_l4,alpha_l3,n_neurons_l5,activation_l5,alpha_l5,dropout_l5,n_neurons_l6,activation_l6,dropout_l6,n_neurons_l7,activation_l7,dropout_l7,alpha_l4,alpha_l6,alpha_l7
242,elu,,0.385,5,309,tanh,0.192,397,elu,0.243,0.0006000000000000001,RMSprop,338,0.9990386366844177,,100,,,733.0,tanh,0.241,414.0,elu,0.384,,,,,,,,,,,,,,
199,selu,,0.459,6,574,tanh,0.078,351,swish,0.202,0.00030000000000000003,RMSprop,145,0.9993786215782166,,101,,,9.0,tanh,0.40900000000000003,981.0,leaky_relu,0.153,,638.0,leaky_relu,0.09,0.078,,,,,,,0.01,,
256,tanh,,0.005,3,625,tanh,0.012,12,leaky_relu,0.226,0.0088,RMSprop,125,0.946147497268791,,102,,0.01,,,,,,,,,,,,,,,,,,,,
223,selu,,0.29,6,491,tanh,0.151,483,swish,0.41100000000000003,0.001,RMSprop,60,0.9993317127227783,,103,,,128.0,tanh,0.26,723.0,leaky_relu,0.015,,23.0,leaky_relu,0.18000000000000002,0.108,,,,,,,0.18000000000000002,,
33,tanh,,0.059000000000000004,3,995,tanh,0.006,16,leaky_relu,0.127,0.0037,Adam,445,0.9995661973953247,,104,,0.01,,,,,,,,,,,,,,,,,,,,
67,tanh,,0.406,3,844,tanh,0.139,238,leaky_relu,0.231,0.0086,RMSprop,317,0.999413788318634,,105,,0.01,,,,,,,,,,,,,,,,,,,,
179,selu,,0.373,6,143,tanh,0.089,539,swish,0.464,0.0006000000000000001,RMSprop,119,0.9995545148849487,,106,,,39.0,tanh,0.157,944.0,leaky_relu,0.209,,537.0,leaky_relu,0.25,0.483,,,,,,,0.22,,
254,tanh,,0.279,4,297,tanh,0.23600000000000002,7,leaky_relu,0.107,0.006200000000000001,Adam,196,0.9987103343009949,,107,,0.29000000000000004,791.0,tanh,0.136,,,,,,,,,,,,,,,,,
171,selu,,0.369,6,141,tanh,0.095,230,swish,0.458,0.0016,RMSprop,454,0.9994606971740723,,108,,,82.0,tanh,0.157,858.0,leaky_relu,0.221,,754.0,leaky_relu,0.3,0.47500000000000003,,,,,,,0.25,,
158,tanh,,0.337,7,95,tanh,0.113,552,swish,0.47500000000000003,0.0006000000000000001,RMSprop,199,0.9992379546165466,,109,,,572.0,tanh,0.218,667.0,leaky_relu,0.17500000000000002,,724.0,swish,,0.417,168.0,elu,0.373,,,,0.21000000000000002,,
